Year for CO2,CO2 (ppmv),CO2 Source,Temperature_Year,Temperature_anomaly,N2O Year,N2O (ppb),date,Average (C),Season,Weather_station_source,year,Statistic Label,Median montly series,Moving Average,Meteorological Weather Station
-753291.0,200.5,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-752444.0,195.8,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-752034.0,191.5,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-751028.0,196.5,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-750655.0,188.0,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-749880.0,190.1,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-749351.0,186.2,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-748526.0,184.0,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-748244.0,184.8,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-747451.0,182.9,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-746963.0,181.4,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-746151.0,180.4,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-745809.0,180.8,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-745160.0,180.8,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-744693.0,183.1,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-743886.0,180.2,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-742893.0,182.0,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-742404.0,181.2,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-741639.0,180.4,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-741283.0,181.7,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-740608.0,182.3,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-740125.0,177.9,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-739357.0,176.6,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-739071.0,178.6,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-738327.0,178.9,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-737892.0,185.0,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-737187.0,197.8,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-736894.0,200.3,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-736322.0,206.5,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-735939.0,210.6,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-735316.0,211.3,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-735084.0,208.1,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-734510.0,209.7,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-734129.0,204.1,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-733509.0,201.3,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-733217.0,201.7,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-732654.0,207.4,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-732273.0,205.3,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-731593.0,204.4,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-731311.0,203.9,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-730598.0,205.9,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-730191.0,203.8,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-729379.0,204.9,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-728999.0,204.1,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-728349.0,204.0,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-726971.0,205.4,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-726618.0,205.1,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-725782.0,205.5,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-725242.0,204.5,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-724372.0,208.1,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-723987.0,206.6,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-723109.0,206.3,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-722495.0,210.3,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-721514.0,213.2,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
-721183.0,213.4,Dome C (Luethi et al. (sub) - Bern),,,,,,,,,,,,,
